Feature,Importance
Contract,0.08126750392139609
tenure,0.04373366084971353
InternetService,0.016365422346004344
MonthlyCharges,0.011219722422102696
TotalCharges,0.006437689922400414
TechSupport,0.005418385782544999
OnlineSecurity,0.004878967339818086
PaymentMethod,0.003907159977429342
PaperlessBilling,0.003096091028156389
StreamingMovies,0.0011835368662997947
MultipleLines,0.0009224987187517852
SeniorCitizen,0.0009080037893886894
StreamingTV,0.00017846881778322833
PhoneService,4.387304512579737e-05
Partner,0.0
gender,-8.023978754556627e-06
OnlineBackup,-5.396772807512162e-05
DeviceProtection,-0.00013407809660872516
Dependents,-0.0005381242526052322
