Feature,Importance
num__NA_Sales,0.7897398748088239
num__EU_Sales,0.13807958137508983
num__JP_Sales,0.026853079311034325
cat__Name_Wii Sports,0.022689389356546054
num__Other_Sales,0.02021018679182041
cat__Name_Super Mario Bros.,0.0003977037932987761
cat__Genre_Platform,0.00021856565959578545
cat__Developer_Nintendo,0.00020227595644758874
cat__Platform_DS,0.000202107351874222
num__Year_of_Release,0.00018687358227982982
cat__Name_Gran Turismo 4,0.00015664736855014176
num__Critic_Count,0.00011321400837171634
cat__Developer_Polyphony Digital,0.00010977760646271698
num__User_Count,0.00010532435071227898
cat__Platform_Wii,9.88670713893417e-05
cat__Name_World of Warcraft,8.837539539947651e-05
cat__Platform_NES,8.620945627996437e-05
cat__User_Score_8,4.872989664775545e-05
cat__Name_Pokemon Black/Pokemon White,4.310329266635663e-05
num__Critic_Score,4.051227282936324e-05
cat__Name_Nintendogs,2.6661211062420258e-05
cat__Name_Super Mario World,2.3360869271151012e-05
cat__Name_Mario Kart Wii,1.9714022929011694e-05
cat__Genre_Sports,1.6511177588491074e-05
cat__Name_Halo: Combat Evolved,1.5229371134280315e-05
cat__Name_Grand Theft Auto III,1.277214470718917e-05
cat__Name_Super Smash Bros. Brawl,1.1719011107358378e-05
cat__User_Score_8.3,8.629463402906757e-06
cat__Name_Monster Hunter Freedom 3,8.243901067164534e-06
cat__Name_Call of Duty: Black Ops,7.308003753765675e-06
cat__Genre_Racing,5.843919673920995e-06
cat__Name_Pokemon Gold/Pokemon Silver,5.17217794594117e-06
cat__Platform_PS3,4.776209023292425e-06
cat__Name_Animal Crossing: Wild World,4.753033371344567e-06
cat__Name_Duck Hunt,4.584825943746917e-06
cat__User_Score_7.4,4.4126515729520525e-06
cat__Developer_Game Arts,4.12917747408759e-06
cat__Name_Call of Duty: World at War,4.056205849057975e-06
cat__Name_Halo 3,3.5416731964367345e-06
cat__Developer_Rockstar North,3.4108053144802173e-06
cat__Name_Gears of War 2,3.32390884784816e-06
cat__Name_Warzone 2100,3.166765050477842e-06
cat__User_Score_8.5,3.0600410704810262e-06
cat__Genre_Role-Playing,3.059963618982413e-06
cat__Platform_3DS,3.0037977373061627e-06
cat__Publisher_Activision,2.876592340600586e-06
cat__Name_Pokemon X/Pokemon Y,2.80161008134297e-06
cat__Name_Pokemon Red/Pokemon Blue,2.735251524550444e-06
cat__Name_Super Mario 64,2.650001326540645e-06
cat__Name_Super Mario Bros. 2,2.6062555506846333e-06
cat__Name_Wii Fit Plus,2.58540581401862e-06
cat__Name_New Super Mario Bros. 2,2.5631342221121636e-06
cat__Name_Tomb Raider II,2.498234928152435e-06
cat__Developer_DMA Design,2.3187891551045127e-06
cat__Name_DriveClub,2.2228069895220776e-06
cat__Name_The Legend of Zelda: Ocarina of Time,2.1439617004904606e-06
cat__Publisher_Bethesda Softworks,2.0638883382404164e-06
cat__Name_Diddy Kong Racing,2.0230543125749003e-06
cat__Name_Super Smash Bros. for Wii U and 3DS,1.9160459687393232e-06
cat__Name_Animal Crossing: City Folk,1.744311660706166e-06
cat__Name_Fallout 3,1.7213776019069517e-06
cat__Name_Dr. Mario,1.7144953275578567e-06
cat__Name_Madden NFL 07,1.6439930663607025e-06
cat__Genre_Shooter,1.6180569730678036e-06
cat__User_Score_7.6,1.575375248397631e-06
cat__Name_Madden NFL 16,1.5334538384939094e-06
cat__Name_Star Fox 64,1.5282443826954527e-06
cat__Name_Donkey Kong Land,1.4492410686505547e-06
"cat__Developer_Infinity Ward, Sledgehammer Games",1.4266913105292089e-06
cat__Platform_X360,1.382421969454936e-06
cat__Name_Forza Motorsport 3,1.349700391423724e-06
cat__Name_Super Mario 3D World,1.330937332370457e-06
cat__Name_Pokémon Platinum Version,1.2672445456209887e-06
cat__Name_Frogger,1.2411119941621701e-06
cat__Developer_Epic Games,1.223430604122792e-06
cat__Name_Super Mario Sunshine,1.0886631530642465e-06
cat__Name_Tekken Tag Tournament,1.0139463337633484e-06
cat__Name_Animal Crossing,1.008785078500153e-06
cat__Name_Imagine: Babyz,1.004877883378977e-06
cat__Name_Sega Rally Championship,9.731689573968862e-07
cat__User_Score_7.2,9.460805552412326e-07
cat__Name_Simpsons Wrestling,9.386375176718811e-07
cat__Name_Golf,9.05201694721765e-07
cat__Name_Killzone: Shadow Fall,8.95364619798184e-07
cat__User_Score_7.8,8.898797750520825e-07
cat__Name_Professor Layton and the Curious Village,8.796182108422786e-07
cat__Platform_PS,8.675873935499702e-07
cat__Name_Ridge Racer V,8.620190917990992e-07
cat__Platform_PSP,8.617388666033899e-07
cat__Name_The Sims: Bustin' Out,8.453020644295551e-07
cat__Name_Pro Evolution Soccer 2008,8.158782014366665e-07
cat__Platform_GC,8.146019605516996e-07
