Feature,Selected,Ranking
num__Other_Sales,True,1
num__JP_Sales,True,1
num__EU_Sales,True,1
num__NA_Sales,True,1
cat__Name_Wii Play,True,1
cat__Name_Metal Gear Solid 3: Snake Eater,True,1
cat__Name_Metroid Prime Hunters,True,1
cat__Name_Brain Age 2: More Training in Minutes a Day,True,1
cat__Name_Brain Age: Train Your Brain in Minutes a Day,True,1
cat__Name_Harvest Moon 3D: A New Beginning,True,1
cat__Name_Gran Turismo 3: A-Spec,True,1
cat__Name_Dragon Quest IX: Sentinels of the Starry Skies,True,1
cat__Name_Pokemon Black/Pokemon White,True,1
cat__Name_Pokemon Gold/Pokemon Silver,True,1
cat__Name_Pokemon Diamond/Pokemon Pearl,True,1
cat__Name_Pokemon Ruby/Pokemon Sapphire,True,1
cat__Name_Gran Turismo 4,True,1
cat__Name_Tekken 3,True,1
"cat__Developer_Retro Studios, Entertainment Analysis & Development Division",True,1
cat__Name_The Order: 1886,True,1
cat__Name_Pokemon Black 2/Pokemon White 2,False,2
cat__Name_Pokémon Platinum Version,False,3
cat__Name_Final Fantasy X,False,4
cat__Name_Mario Party 8,False,5
cat__Name_Street Fighter II: The World Warrior,False,6
cat__Name_Grand Theft Auto: Liberty City Stories,False,7
cat__Name_Final Fantasy X-2,False,8
cat__Name_Tomodachi Life,False,9
cat__Name_WinBack 2: Project Poseidon,False,10
cat__Name_Vanark,False,11
cat__Name_LifeSigns: Surgical Unit,False,12
cat__Name_K-1 Grand Prix,False,13
cat__Name_Alfa Romeo Racing Italiano,False,14
cat__Developer_Multimedia Intelligence Transfer,False,15
cat__Developer_Mindware Studios,False,16
cat__Developer_Gameness Art Software,False,17
cat__Name_Thunderbirds,False,18
cat__Name_Summon Night: Swordcraft Story,False,19
cat__Name_Steel Battalion: Line of Contact,False,20
cat__Name_Spy Hunter / Super Sprint,False,21
cat__Name_Serious Sam Advance,False,22
cat__Name_Room Zoom: Race for Impact,False,23
cat__Name_DemiKids: Dark Version,False,24
cat__Name_Capcom Digital Collection,False,25
cat__Name_Blender Bros.,False,26
cat__Name_Special Forces: Nemesis Strike,False,27
cat__Name_Disney's Hide & Sneak,False,28
cat__Name_Alienators: Evolution Continues,False,29
cat__Name_The Pinball of the Dead,False,30
cat__Name_Rayman: Hoodlum's Revenge,False,31
cat__Name_Hot Wheels: Burnin' Rubber,False,32
cat__Name_ESPN Winter X-Games: Snowboarding 2002,False,33
cat__Name_Desert Strike Advance,False,34
"cat__Developer_Camouflaj, LLC",False,35
cat__Developer_JV Games Inc.,False,36
cat__Name_Paperboy / Rampage,False,37
cat__Name_Bratz,False,38
cat__Name_Baseball Advance,False,39
cat__Developer_Ice-Pick Lodge,False,40
cat__Developer_Eagle Dynamics,False,41
cat__Developer_DreamCatcher Interactive,False,42
cat__Developer_BattleGoat Studios,False,43
cat__Name_The Sims 2: Glamour Life Stuff,False,44
cat__Name_Rome: Total War - Gold Edition,False,45
cat__Name_Rise of Nations: Rise of Legends,False,46
cat__Name_RACE On,False,47
cat__Name_Hallowed Legends: Samhain,False,48
cat__Name_DarkStar One,False,49
cat__Name_A Game of Thrones: Genesis,False,50
cat__Name_Mystery Case Files: Ravenhearst,False,51
cat__Name_IL-2 Sturmovik: 1946,False,52
cat__Name_Forza Motorsport 3: Ultimate Edition,False,53
cat__Name_Black Mirror 2,False,54
cat__Developer_Cranberry Production,False,55
cat__Name_Match 3 Madness,False,56
cat__Name_Jewel Link Chronicles: Mountains of Madness,False,57
cat__Name_Dungeon Keeper 2,False,58
cat__Name_Company of Heroes: Opposing Fronts,False,59
cat__Name_Hyperdimension Neptunia Re;Birth 2,False,60
cat__Name_OK! Puzzle Stars,False,61
cat__Name_Unison: Rebels of Rhythm & Dance,False,62
cat__Name_Go Diego Go!: Safari Rescue,False,63
cat__Name_Fisherman's Challenge,False,64
cat__Name_Blood Will Tell: Tezuka Osamu's Dororo,False,65
cat__Name_Art of Fighting Anthology,False,66
cat__Developer_Voxler,False,67
cat__Name_Imagine: My Restaurant,False,68
cat__Developer_SmartDog,False,69
cat__Developer_Neon Studios,False,70
cat__Developer_Fresh 3D,False,71
cat__Name_The Nightmare of Druaga: Fushigino Dungeon,False,72
cat__Name_Samurai Champloo: Sidetracked,False,73
cat__Name_Rez,False,74
cat__Name_Naval Ops: Commander,False,75
cat__Name_Marc Ecko's Getting Up: Contents Under Pressure,False,76
cat__Name_Ferrari F355 Challenge,False,77
cat__Name_Dual Hearts,False,78
cat__Name_Bombastic,False,79
"cat__Developer_Atari, Slightly Mad Studios, Atari SA",False,80
cat__Name_Football Manager 2017,False,81
cat__Name_Age of Empires II: The Age of Kings,False,82
cat__Name_Chronicles of Mystery: The Secret Tree of Life,False,83
cat__Developer_Valhalla Game Studios,False,84
cat__Name_Tournament of Legends,False,85
cat__Name_Speed,False,86
cat__Name_Rocky Balboa,False,87
cat__Publisher_WayForward Technologies,False,88
cat__Name_GunPey,False,89
cat__Name_Monopoly Collection,False,90
cat__Developer_Roxor Games,False,91
cat__Name_Sky Gunner,False,92
cat__Name_Magic Pengel: The Quest for Color,False,93
cat__Name_Killer Instinct (2013),False,94
cat__Name_Kessen III,False,95
cat__Name_Aero Elite: Combat Academy,False,96
cat__Name_The Sims 4: City Living,False,97
cat__Name_Wreckin Crew,False,98
cat__Name_The King of Fighters '98: Dream Match Never Ends,False,99
cat__Name_Strider 2,False,100
cat__Name_Robotron X,False,101
cat__Name_Nikoli's Pencil Puzzle,False,102
cat__Name_Koudelka,False,103
cat__Name_Iron Man / X-O Manowar in Heavy Metal,False,104
cat__Name_Blades of Blood: Samurai Shodown III,False,105
cat__Name_Kengo: Legend of The 9,False,106
cat__Name_Gunblade NY & L.A. Machineguns Arcade Hits Pack,False,107
cat__Name_Agatha Christie: And Then There Were None,False,108
cat__Name_Yu-Gi-Oh! GX: The Beginning of Destiny (US sales),False,109
cat__Name_Wild ARMs: Alter Code F,False,110
cat__Name_Shox,False,111
cat__Name_Shockwave Assault,False,112
cat__Name_Rosco McQueen: Firefighter Extreme,False,113
cat__Name_Populous: The Beginning,False,114
cat__Name_Let's Ride! Silver Buckle Stables,False,115
cat__Name_Gradius V,False,116
cat__Name_ESPN NBA 2Night,False,117
cat__Name_Driver: Renegade,False,118
cat__Name_Disney's Aladdin in Nasira's Revenge,False,119
cat__Name_Chess,False,120
cat__Name_Bogey: Dead 6,False,121
cat__Name_Bloody Roar 4,False,122
cat__Developer_Gulti,False,123
cat__Name_Worms: A Space Oddity,False,124
cat__Developer_Yoostar Entertainment Group,False,125
cat__Developer_Vogster,False,126
cat__Developer_Koei Canada,False,127
cat__Name_World Party Games,False,128
cat__Name_Picture Perfect Hair Salon,False,129
cat__Name_Overlord: Minions,False,130
cat__Name_Operation Darkness,False,131
cat__Name_My Fun Facts Coach,False,132
cat__Name_Let's Ride! Friends Forever,False,133
cat__Name_Harlem Globetrotters: World Tour,False,134
cat__Name_Fantasy Aquarium by DS,False,135
cat__Name_Elements of Destruction,False,136
cat__Name_Discovery Kids: Parrot Pals,False,137
cat__Name_Damage Inc.: Pacific Squadron WWII,False,138
"cat__Developer_Joindots, Mastertronic",False,139
"cat__Developer_THQ, Independent Arts",False,140
cat__Developer_Kheops Studio,False,141
cat__Name_Samurai Shodown Sen,False,142
cat__Developer_Valcon Games,False,143
cat__Developer_Tectonic Studios,False,144
cat__Developer_SilverBirch Studios,False,145
cat__Developer_Foundation 9 Entertainment,False,146
cat__Developer_ECI,False,147
"cat__Developer_EA Canada, Sensory Sweep",False,148
cat__Name_Touch Mechanic,False,149
cat__Name_The Hidden,False,150
cat__Name_Sushi Academy,False,151
cat__Name_Nano Assault,False,152
cat__Name_Midnight Play! Pack,False,153
cat__Name_Miami Nights: Singles in the City,False,154
cat__Name_Konami Classics Vol. 1,False,155
cat__Name_Frantix,False,156
cat__Name_Face Racers: Photo Finish,False,157
cat__Name_Dream Day: Wedding Destinations,False,158
cat__Name_DaGeDar,False,159
cat__Name_Charm Girls Club: My Fashion Show,False,160
cat__Name_Build 'n Race,False,161
cat__Name_America's Army: True Soldiers,False,162
cat__Name_101-in-1 Sports Megamix,False,163
cat__Developer_Realmforge Studios,False,164
cat__Name_You Don't Know Jack: Mock 2,False,165
cat__Name_Vanishing Point,False,166
cat__Name_Vandal Hearts II,False,167
cat__Name_Urban Chaos,False,168
cat__Name_Shellshock,False,169
cat__Name_Revolution X,False,170
cat__Name_Olympic Summer Games: Atlanta 1996,False,171
cat__Name_Micro Machines V3,False,172
cat__Name_LEGO Rock Raiders,False,173
cat__Name_Ghost in the Shell,False,174
cat__Name_Gekido,False,175
cat__Name_Army Men World War: Team Assault,False,176
cat__Name_3D Tank Warfare Simulator Panzer Front,False,177
cat__Name_Mind Quiz,False,178
cat__Name_Imagine: Reporter,False,179
cat__Developer_Sarbakan Inc.,False,180
"cat__Developer_Crave, DTP Entertainment",False,181
cat__Name_The Story of Noah's Ark,False,182
cat__Name_Squinkies 2: Adventure Mall Surprize!,False,183
cat__Name_Rygar: The Battle of Argus,False,184
cat__Name_Learn Chess,False,185
cat__Name_Johnny Bravo in The Hukka-Mega-Mighty-Ultra-Extreme Date-O-Rama,False,186
cat__Name_InuYasha: Secret of the Divine Jewel,False,187
cat__Name_I Love Puppies,False,188
cat__Name_Galactic Taz Ball,False,189
cat__Name_Field & Stream: Total Outdoorsman Challenge,False,190
cat__Name_Championship Foosball,False,191
cat__Name_Brain Age: Concentration Training,False,192
cat__Name_Blitz: Overtime,False,193
cat__Name_Alien Monster Bowling League,False,194
cat__Name_Yu-Gi-Oh! 5D's Wheelie Breakers,False,195
cat__Name_Universe at War: Earth Assault,False,196
cat__Name_Barbie in The 12 Dancing Princesses,False,197
"cat__Developer_Seamless Entertainment, Inc.",False,198
cat__Developer_Arts Software,False,199
cat__Name_WireWay,False,200
cat__Name_UNO / Skip-Bo / UNO Freefall,False,201
cat__Name_My First Dollhouse,False,202
cat__Name_Just In Time Translations,False,203
cat__Name_Imagine: Soccer Captain,False,204
cat__Name_Gretzky NHL,False,205
cat__Name_Dreamer Series: Top Model,False,206
cat__Name_Brain Quest: Grades 5 & 6,False,207
cat__Name_American Girl: Julie Finds a Way,False,208
cat__Developer_Psikyo,False,209
cat__Publisher_FunSoft,False,210
cat__Name_Peter Jacobsen's Golden Tee Golf,False,211
cat__Name_O.D.T.: Escape... Or Die Trying,False,212
cat__Name_Magic: The Gathering - Battlemage,False,213
cat__Name_MTV Sports: Pure Ride,False,214
cat__Name_Looney Tunes: Sheep Raider,False,215
cat__Name_Guardian's Crusade,False,216
cat__Name_Criticom,False,217
cat__Name_Colony Wars III: Red Sun,False,218
cat__Developer_Void Productions,False,219
cat__Name_Your Shape: Fitness Evolved 2013,False,220
cat__Name_Tecmo Bowl: Kickoff,False,221
cat__Name_Girl Time,False,222
cat__Name_Wild Earth: African Safari,False,223
cat__Name_Space Bust-A-Move,False,224
cat__Name_Transformers: War for Cybertron -- Decepticons,False,225
cat__Name_Charm Girls Club: My Fashion Mall,False,226
cat__Name_Steambot Chronicles: Battle Tournament,False,227
"cat__Developer_Pam Development, 2K Sports",False,228
cat__Name_Divinity II: The Dragon Knight Saga,False,229
cat__Name_Vampire Moon: The Mystery of the Hidden Sun,False,230
cat__Name_Mr. Do!,False,231
cat__Name_Imagine: Fashion Stylist,False,232
cat__Name_OutRun 2,False,233
cat__Name_Grabbed by the Ghoulies,False,234
cat__Name_Enclave,False,235
cat__Name_Active Health with Carol Vorderman,False,236
cat__Name_Streak: Hoverboard Racing,False,237
cat__Name_Muppet RaceMania,False,238
