Feature,Score
num__NA_Sales,1.0957178864546107
num__Other_Sales,0.7004888851219175
num__EU_Sales,0.6778810345025761
num__JP_Sales,0.5784557731246851
num__Critic_Score,0.08369905108234743
num__Critic_Count,0.0779599210681492
num__User_Count,0.06771269047630835
num__Year_of_Release,0.045590722485652435
cat__User_Score_tbd,0.04111588379818931
cat__Publisher_Nintendo,0.023399614406228286
cat__Developer_Ubisoft,0.019859097166919915
cat__Publisher_Electronic Arts,0.019145741743985978
cat__Platform_PC,0.01741852299318225
cat__Genre_Adventure,0.016880878780448638
cat__Rating_E,0.01048732199370428
cat__Rating_M,0.010218207260239032
cat__Platform_PSP,0.010133803227088123
cat__Publisher_Idea Factory,0.00986937756406403
cat__Platform_DS,0.009625317592733884
cat__Platform_PSV,0.008788506050853018
cat__Platform_X360,0.008334702703274077
cat__Publisher_Activision,0.00793609001256712
cat__Genre_Sports,0.007746964765897646
cat__Platform_PS3,0.007635497275205072
cat__Rating_T,0.007530266438611211
cat__Developer_Nintendo,0.00744179409079615
cat__Platform_NES,0.007031469256756573
cat__Publisher_THQ,0.006979864019430737
cat__Platform_PS,0.006280567512179092
cat__Publisher_Sony Computer Entertainment,0.0060584566300176945
cat__Platform_GB,0.00517469314716279
cat__Platform_GBA,0.005004978911740565
cat__Platform_2600,0.004739746450274529
cat__Genre_Platform,0.004669592801643585
cat__Rating_E10+,0.004476729512082667
cat__Platform_N64,0.004343006310290498
cat__Developer_EA Tiburon,0.004303827419302353
cat__Publisher_Tecmo Koei,0.004260872641789204
cat__Publisher_5pb,0.004207944295040789
cat__Publisher_Namco Bandai Games,0.004020843196580248
cat__Developer_EA Sports,0.003907690182799239
cat__Platform_XB,0.003659392491000446
cat__Publisher_Disney Interactive Studios,0.003594614158153764
cat__Genre_Strategy,0.0033966850512630042
cat__Publisher_Prototype,0.0032124178339434373
cat__Publisher_Unknown,0.0031511157671713086
cat__Publisher_D3Publisher,0.003130513542802138
cat__Publisher_Warner Bros. Interactive Entertainment,0.003107202148105226
cat__User_Score_8.5,0.0030396037363419337
cat__User_Score_8.4,0.0028211597513088105
cat__Publisher_Alchemist,0.0027592425617484206
cat__User_Score_7.9,0.002615854147255736
cat__Publisher_Microsoft Game Studios,0.0022764929633175557
cat__Publisher_505 Games,0.002239193033667819
cat__Publisher_Konami Digital Entertainment,0.0022333415333184448
cat__Publisher_Marvelous Interactive,0.002231032388420817
cat__Platform_3DS,0.0022179927007461853
cat__Developer_Yuke's,0.002115572871911886
cat__Platform_SAT,0.002031187045398175
cat__Developer_EA Canada,0.0020247736414893414
cat__Developer_Neversoft Entertainment,0.001952674696100276
cat__User_Score_7.8,0.001917450587933578
cat__Genre_Fighting,0.0018672934900256788
cat__User_Score_7.2,0.0018629453157973375
cat__Publisher_Acclaim Entertainment,0.0018585730435763947
cat__Developer_Traveller's Tales,0.0018379646771538027
cat__User_Score_8.9,0.0017686822172503502
cat__Platform_GC,0.0017543824247423512
cat__User_Score_8.6,0.00175188141238114
cat__Developer_Rockstar North,0.0017502298726604915
cat__Developer_Treyarch,0.00168835798009781
cat__User_Score_8.2,0.0016744640835837377
cat__Developer_Electronic Arts,0.0016713498995490905
cat__Publisher_Paradox Interactive,0.0016568128518836822
cat__User_Score_9.1,0.001639779933037655
cat__Developer_Koei,0.001607378964992745
cat__Developer_Vicarious Visions,0.0015895076506049488
cat__Publisher_Quinrose,0.001582900168557888
cat__Publisher_Kadokawa Shoten,0.0015752653036338327
