,precision,recall,f1-score,support
Among Us,0.9933333333333333,0.9933333333333333,0.9933333333333333,150.0
Apex Legends,0.9802631578947368,0.9933333333333333,0.9867549668874173,150.0
Fortnite,1.0,0.9933333333333333,0.9966555183946488,150.0
Forza Horizon,1.0,0.9933333333333333,0.9966555183946488,150.0
Free Fire,1.0,0.9866666666666667,0.9932885906040269,150.0
Genshin Impact,0.9933333333333333,0.9933333333333333,0.9933333333333333,150.0
God of War,1.0,1.0,1.0,150.0
Minecraft,1.0,1.0,1.0,150.0
Roblox,0.9868421052631579,1.0,0.9933774834437086,150.0
Terraria,1.0,1.0,1.0,150.0
accuracy,0.9953333333333333,0.9953333333333333,0.9953333333333333,0.9953333333333333
macro avg,0.9953771929824562,0.9953333333333333,0.9953398744391115,1500.0
weighted avg,0.9953771929824561,0.9953333333333333,0.9953398744391118,1500.0
