,precision,recall,f1-score,support
Among Us,0.9281045751633987,0.9466666666666667,0.9372937293729373,150.0
Apex Legends,0.910958904109589,0.8866666666666667,0.8986486486486487,150.0
Fortnite,0.8961038961038961,0.92,0.9078947368421053,150.0
Forza Horizon,0.8616352201257862,0.9133333333333333,0.8867313915857605,150.0
Free Fire,0.9548872180451128,0.8466666666666667,0.8975265017667845,150.0
Genshin Impact,0.9708029197080292,0.8866666666666667,0.926829268292683,150.0
God of War,0.9863013698630136,0.96,0.972972972972973,150.0
Minecraft,0.961038961038961,0.9866666666666667,0.9736842105263158,150.0
Roblox,0.8614457831325302,0.9533333333333334,0.9050632911392406,150.0
Terraria,0.9539473684210527,0.9666666666666667,0.9602649006622517,150.0
accuracy,0.9266666666666666,0.9266666666666666,0.9266666666666666,0.9266666666666666
macro avg,0.9285226215711371,0.9266666666666667,0.9266909651809699,1500.0
weighted avg,0.928522621571137,0.9266666666666666,0.9266909651809702,1500.0
