title,duration_minutes
Black Mirror: Bandersnatch,312.0
Headspace: Unwind Your Mind,273.0
The School of Mischief,253.0
No Longer kids,237.0
Lock Your Girls In,233.0
Raya and Sakina,230.0
Once Upon a Time in America,229.0
Sangam,228.0
Lagaan,224.0
Jodhaa Akbar,214.0
Seven Souls in the Skull Castle: Season Moon Kagen,212.0
Kabhi Khushi Kabhie Gham,209.0
The Irishman,209.0
No Direction Home: Bob Dylan,208.0
The Gospel of Luke,205.0
Seven Souls in the Skull Castle: Season Moon Jogen,204.0
Fifty Year Old Teenager,204.0
What's Your Raashee?,203.0
The Lord of the Rings: The Return of the King,201.0
Doctor Zhivago,200.0
