,count,mean,std,min,25%,50%,75%,max,median,variance,skewness
release_year,8794.0,2014.1835342278825,8.82352716384308,1925.0,2013.0,2017.0,2019.0,2021.0,2017.0,77.8546316110767,-3.4473383621857874
year_added,8794.0,2018.8727541505573,1.5737892020404678,2008.0,2018.0,2019.0,2020.0,2021.0,2019.0,2.4768124524591726,-0.7056078018344859
content_age,8794.0,10.816465772117352,8.82352716384308,4.0,6.0,8.0,12.0,100.0,8.0,77.8546316110767,3.4473383621858207
years_on_netflix,8794.0,6.127245849442802,1.5737892020404678,4.0,5.0,6.0,7.0,17.0,6.0,2.4768124524591726,0.7056078018343216
genre_count,8794.0,2.1946781896747782,0.7841479999944095,1.0,2.0,2.0,3.0,3.0,2.0,0.6148880858952326,-0.35638076478204184
country_count,8794.0,1.23231748919718,0.6692525225053763,1.0,1.0,1.0,1.0,12.0,1.0,0.44789893887980914,4.259263582894201
cast_count,8794.0,7.377643848078235,4.728243701418494,1.0,4.0,8.0,10.0,50.0,8.0,22.35628850000366,1.2512271907673018
duration_value,8794.0,69.92017284512167,50.797005002261066,1.0,2.0,88.0,106.0,312.0,88.0,2580.335717199736,-0.1922960404673704
duration_minutes,6128.0,99.57718668407311,28.290593447417397,3.0,87.0,98.0,114.0,312.0,98.0,800.3576776070562,0.20257911230639264
season_count,2666.0,1.7513128282070518,1.5501764597371424,1.0,1.0,1.0,2.0,17.0,1.0,2.4030470563231803,3.39532623636618
popularity_score,8794.0,13.149988628610416,5.503777483413421,-5.0,9.4,13.5,16.4,57.4,13.5,30.291566586928564,0.7098581857265257
